,Attrition
1059,0
1108,0
1380,0
971,0
394,0
640,0
104,0
815,0
1240,0
1159,0
720,1
814,0
998,0
51,1
602,0
354,0
1381,0
460,0
22,0
374,0
538,0
1170,0
218,0
585,1
1463,0
1046,0
497,0
702,0
375,0
975,1
1142,0
404,0
419,0
1195,0
173,0
690,0
827,0
428,0
1243,0
1266,0
718,0
282,0
1097,0
1113,0
635,0
738,0
499,0
691,0
0,1
926,0
1157,0
1161,0
327,1
102,1
213,0
852,0
246,0
1449,0
1185,0
1325,0
1256,0
1231,0
365,0
248,0
736,0
26,1
836,1
1377,0
680,0
1132,0
3,0
134,0
837,0
355,0
292,0
698,0
1048,0
1294,0
369,0
1209,0
226,0
339,0
1262,1
603,0
454,0
63,0
990,0
237,0
650,0
112,0
1446,0
1222,1
577,0
126,1
1008,0
1166,0
851,0
694,0
137,0
1009,0
1189,0
7,0
502,0
854,0
947,1
631,0
929,0
1467,0
407,0
1432,0
357,1
153,0
343,0
305,0
1313,1
612,0
1389,0
280,0
1259,0
1423,0
1080,0
400,0
468,0
504,1
534,0
1016,1
903,0
1255,1
550,0
1307,0
1194,0
1130,0
945,0
163,0
336,1
59,0
1118,0
1371,0
1417,0
449,0
855,0
1334,0
1146,0
1309,0
437,0
786,0
873,0
1353,1
819,0
1006,1
586,0
941,0
348,0
1386,0
1028,0
463,1
1373,0
653,0
573,1
647,0
595,1
890,0
470,0
800,1
281,0
932,1
732,1
715,0
832,0
951,0
1144,0
1037,0
1178,0
455,0
584,0
147,0
160,0
1111,1
750,0
1117,0
859,0
952,1
1228,0
628,0
606,0
164,0
106,0
1040,0
617,0
1225,0
329,0
480,1
498,0
1366,0
93,0
809,0
433,0
1107,0
43,0
860,1
1285,0
967,0
710,0
1435,0
1401,0
765,0
885,0
556,0
1398,0
69,1
514,1
509,0
340,0
221,0
146,0
1053,0
1138,0
803,0
508,0
1314,0
176,0
804,0
168,0
1271,1
1351,0
129,0
189,0
136,1
1337,0
894,0
197,0
290,0
36,1
767,0
232,0
645,1
33,1
1112,1
1458,0
1068,1
865,0
341,0
1085,1
199,0
429,0
1448,0
876,0
730,0
919,0
297,0
73,0
807,0
547,1
949,0
1352,0
1331,0
1338,1
821,0
663,1
1241,0
1324,0
623,0
1162,1
212,0
1035,0
1336,0
1363,0
727,0
701,0
1022,0
1406,0
234,1
1007,1
978,0
67,0
24,1
216,1
812,0
735,0
1153,1
111,1
166,0
1404,0
207,0
274,0
41,0
591,1
1326,1
525,1
287,0
469,1
121,0
1465,0
1252,0
928,1
673,0
1141,0
886,0
956,0
25,0
1134,0
149,0
925,0
1176,0
696,0
843,0
889,0
598,1
1020,0
139,0
749,1
1284,0
1004,0
323,1
180,0
1272,0
450,0
607,1
1043,0
296,1
1293,0
1250,0
94,0
1339,1
637,0
1304,0
286,1
488,0
444,0
1208,0
1198,0
275,0
806,0
1152,0
1206,0
32,0
1104,0
307,0
770,0
11,0
872,0
1067,0
86,0
778,0
1060,1
1456,0
1082,0
1065,0
782,0
562,1
209,0
1172,0
739,0
594,0
123,0
734,0
931,0
98,0
377,0
130,0
23,0
1464,0
555,0
370,1
383,0
201,0
917,0
368,1
973,0
387,0
816,0
1316,0
256,0
1221,0
1119,0
169,0
1329,0
560,0
373,0
909,0
719,0
791,1
954,0
1251,0
1167,1
1204,1
868,0
972,0
1155,0
1431,0
1071,0
964,0
774,0
324,0
203,0
84,0
633,0
908,0
611,0
398,0
91,0
1106,1
430,0
779,1
1143,0
291,0
57,0
1345,0
257,0
888,0
1429,0
1066,0
388,0
335,0
273,0
756,0
1077,1
1419,0
128,0
802,0
28,0
1207,0
882,0
510,0
675,0
151,0
244,0
714,0
543,0
544,0
639,0
697,0
1289,0
1312,1
423,0
910,0
1171,1
659,0
797,1
1445,0
1201,1
99,0
850,0
448,0
755,0
976,0
115,0
777,1
72,0
845,0
537,0
849,1
174,0
87,0
551,0
705,0
314,0
1420,0
600,0
1094,0
599,0
277,0
1033,1
1383,0
763,0
835,0
1216,0
559,0
684,0
